Wavelength (nm),Spectral irradiance (W m-2 nm-1),Cumulative photon flux (cm-2 s-1)
704,1.29875,1.29148E+17
705,1.31625,1.29615E+17
706,1.31125,1.30081E+17
707,1.30875,1.30547E+17
708,1.3025,1.3101E+17
709,1.30875,1.31477E+17
710,1.31,1.31945E+17
711,1.30875,1.32413E+17
712,1.3,1.32879E+17
713,1.2925,1.33343E+17
714,1.29375,1.33807E+17
715,1.26625,1.34263E+17
716,1.2475,1.34712E+17
717,1.1125,1.35114E+17
718,1.025125,1.35484E+17
719,0.942375,1.35825E+17
720,0.987375,1.36182E+17
721,1.087875,1.36577E+17
722,1.2075,1.37016E+17
723,1.14125,1.37431E+17
724,1.06,1.37817E+17
725,1.04625,1.38199E+17
726,1.075,1.38591E+17
727,1.075,1.38984E+17
728,1.045,1.39367E+17
729,1.05125,1.39753E+17
730,1.11125,1.40161E+17
731,1.0875,1.40561E+17
732,1.145,1.40982E+17
733,1.19,1.41421E+17
734,1.2225,1.41873E+17
735,1.21125,1.42321E+17
736,1.20125,1.42765E+17
737,1.2025,1.43211E+17
738,1.21375,1.43662E+17
739,1.1975,1.44107E+17
740,1.215,1.44559E+17
741,1.21125,1.45011E+17
742,1.21375,1.45464E+17
743,1.2375,1.45927E+17
744,1.24875,1.46394E+17
745,1.24875,1.46862E+17
746,1.24125,1.47328E+17
747,1.24,1.47794E+17
748,1.23875,1.4826E+17
749,1.23125,1.48724E+17
750,1.23,1.49188E+17
751,1.23,1.49653E+17
752,1.22875,1.50118E+17
753,1.22375,1.50581E+17
754,1.23625,1.5105E+17
755,1.23,1.51518E+17
756,1.22125,1.51982E+17
757,1.22125,1.52447E+17
758,1.22375,1.52914E+17
759,1.079375,1.53326E+17
760,0.36675,1.53466E+17
761,0.234375,1.53556E+17
762,0.581,1.53779E+17
763,0.436375,1.53946E+17
764,0.5355,1.54152E+17
765,0.681625,1.54414E+17
766,0.815875,1.54729E+17
767,0.9685,1.55103E+17
768,1.093875,1.55525E+17
769,1.12375,1.5596E+17
770,1.15625,1.56408E+17
771,1.16875,1.56861E+17
772,1.17,1.57316E+17
773,1.17,1.57771E+17
774,1.17,1.58226E+17
775,1.17125,1.58683E+17
